Supplier,PO Number,Description
Jasmond Transport Pty Ltd,3093/M00096,Tandems (13 tonne)
,3093/M00096,Twin Steers (18 tonne)
,3093/M00096,Truck and Dogs (29 tonne)
,3093/M00096,Truck and Dogs (33 tonne)
,3093/M00096,Truck and PBS Dogs (38 tonne)
Civilmart,3093/M00097,Old Homebush Road
,3093/M00097,Meringandan Shirley Road
,3093/M00097,Eric Road
,3093/M00097,Gowrie Little Placeain
,3093/M00097,450RCP Precast Headwall (CH10)
,3093/M00097,Linora Drive
,3093/M00097,Glencoe Yalangur Road
,3093/M00097,Kingsthorpe Silverleigh
,3093/M00097,Gowrie Lilyvale Road
,3093/M00097,Bischoffs Road
Mottley Civil Pty Ltd,3093/M00098,Grader
,3093/M00098,Roller - Smooth drum or pad foot - 12 ton
,3093/M00098,Roller - multi tyre - 18-20 ton
,3093/M00098,Truck - Semi Side Tipper - 22-24 payload
,3093/M00098,Water cart - rigid - 10-12 KL
,3093/M00098,General Labour
,3093/M00098,23T Loader
Europcar WA,3093/M00099,Hire dual cab 4x4 while V442 is repaired
Tradeline Site Solutions,3093/M00101,Safety Flags - BLUE Bunting - 30m
,3093/M00101,DYMARK Spray and Mark Layout Paint
,3093/M00101,Flagging Tape 25mm x 100m - Pink
,3093/M00101,Flagging Tape 25mm x 100m - Blue
,3093/M00101,Delivery - Regional
Red Leaf Projects Pty Ltd,3093/M00102,Fauna Spotter catcher
,3093/M00102,"Reporting (pre-clearance, certification/post"
,3093/M00102,Vehicle – from nearest Redleaf Office
,3093/M00102,Flora survey for invasive species within
DS Workwear,3093/M00103,Cool L/weight C/drill Pant Navy 94L
,3093/M00103,Bisley Softshell Jacket Hi Vis Y/N Taped XL
,3093/M00103,Canvas Sun Hat Navy C/w Flap/Toggle Lge
,3093/M00103,Embroidery
,3093/M00103,Delivery
Tradeline Site Solutions,3093/M00104,Safety Sign 1200 x 900mm Coreflute - Reverse
,3093/M00104,Permanent Marker - Bullet Point - Black
,3093/M00104,Dy-Mark iFine Permanent Marker Pen - Black
,3093/M00104,Delivery - Regional
Alcolizer Technology,3093/M00105,HH3 Alcohol Tester (AS3547:2019) 12 Month Cal
,3093/M00105,StarTrack 5KG Box Delivery
Dove Hygiene Pty Ltd,3093/M00106,2x sanitary bins
,3093/M00106,2x Sanitary Bins
Tradeline Site Solutions,3093/M00107,Custom Design Sign A2 (420 x 594m) Corflute
,3093/M00107,Delivery - Regional
Wormald Fire Systems,3093/M00108,PORTABLE FIRE EQUIPMENT SUPPLY AND INSTALL
,3093/M00108,DEPOT AND VEHICLE SPILL KITS SUPPLIED
,3093/M00108,EVACUATION DIAGRAMS SUPPLIED AND INSTALLED
,3093/M00108,"EXIT SIGNAGE, EMERGENCY ASSEMBLY POINT SIGN"
Jim's Cleaning (Toowoomba Eas,3093/M00109,First clean of the site office
,3093/M00109,7 days of cleaning
Protech Personnel - QLD,3093/M00110,CW3 Civil Labourer @ Ordinary Time
,3093/M00110,CW3 Civil Labourer @ 1.5
,3093/M00110,CW3 Civil Labourer @ 2
,3093/M00110,CW3 Civil Labourer Meal Allowance (Paid at 1.
,3093/M00110,CW3 Civil Labourer Travel (Paid Daily))
Tradeline Site Solutions,3093/M00111,[PEG502512-P] Hardwood Peg 50 x 25 x 1200mm Painted (ea/10bundle)
,3093/M00111,[PAINTPENP10BK] Paint Marker Pen P10 - Black (ea/12 Box)
,3093/M00111,[ARTLINECHISBK] Permanent Marker - 12mm Chisel Nib - Black (ea/6 in a box
,3093/M00111,[SMP350W] DYMARK Spray and Mark Layout Paint; White 350gram (ea/12box)
,3093/M00111,[SMP350BL] DYMARK Spray and Mark Layout Paint; Blue 350gram (ea/12box)
,3093/M00111,[SMP350FPK] DYMARK Spray and Mark Layout Paint; Fluro Pink 350gram (ea/12box)
,3093/M00111,[FLAGTAPEOR] Flagging Tape 25mm x 100m - Orange
,3093/M00111,[FLAGTAPEBL] Flagging Tape 25mm x 100m - Blue
,3093/M00111,[FLAGTAPEY] Flagging Tape 25mm x 100m - Yellow
,3093/M00111,[FLAGTAPEPK] Flagging Tape 25mm x 100m - Pink
,3093/M00111,"[SHOVEL1] Square Mouth Shovel - 'D' Handle - 39"" - White"
,3093/M00111,[SHOVEL13] Post Hole Shovel Fibreglass Handle
,3093/M00111,[LUMPH1] Lump Club Hammer - Fibreglass Handle - 3LB
,3093/M00111,[ROADBROOM] Yard/Bitumen Road Broom 350mm (73351)
,3093/M00111,"[TX677QP] GME Quad Pack 2 Watt UHF CB Handheld Radios inc cig charger, 240V charger, belt clips"
,3093/M00111,Delivery - Regional
DS Workwear,3093/M00112,Mens L/weight Y/N L/Sl Shirt Taped XL
,3093/M00112,Embroidery
,3093/M00112,D elivery
MyCar Tyre and Auto,3093/M00113,Tire repair
Tradeline Site Solutions,3093/M00114,[SIGNMM6060] Multi Message Sign 600 x 600mm
